gene_id	length
AT1G05750	3226
AT1G05760	682
AT1G05770	785
AT1G05780	864
AT1G05785	772
AT1G05790	2282
AT1G05800	1416
AT1G05805	1795
AT1G05810	784
AT1G05820	2178
AT1G05830	3983
AT1G05835	599
AT1G05840	1700
AT1G05850	1620
AT1G05860	1375
AT1G05870	1796
AT1G05880	1726
AT1G05890	2675
AT1G05894	1591
AT1G05900	1443
AT1G05910	4018
AT1G05920	1477
AT1G05930	957
AT1G05940	2023
AT1G05950	2255
AT1G05960	3788
AT1G05970	1142
AT1G05980	72
AT1G05990	793
AT1G06002	1641
AT1G06000	1587
AT1G06010	920
AT1G06020	1558
AT1G06030	1216
AT1G06040	1393
AT1G06050	1428
AT1G06060	1117
AT1G06070	2003
AT1G06080	1334
AT1G06090	2313
AT1G06100	958
AT1G06110	1929
AT1G06120	1155
AT1G06130	1571
AT1G06135	559
AT1G06137	416
AT1G06140	2226
AT1G06150	2980
AT1G06148	1046
AT1G06160	1086
AT1G06170	1554
AT1G06180	1076
AT1G06190	1558
AT1G06200	1077
AT1G06210	1584
AT1G06220	3580
AT1G06225	381
AT1G06230	3344
AT1G06240	1840
AT1G06250	1481
AT1G06265	2210
AT1G06260	1051
AT1G06270	1617
AT1G06280	643
AT1G06290	2519
AT1G06310	2348
AT1G06320	667
AT1G06330	971
AT1G06340	820
AT1G06350	1238
AT1G06360	1286
AT1G06370	1883
AT1G06380	1311
AT1G06390	1781
AT1G06400	1338
AT1G06410	3444
AT1G06420	1150
AT1G06430	2433
AT1G06440	1909
AT1G06450	1380
AT1G06460	1321
AT1G06470	2719
AT1G06475	574
AT1G06480	74
AT1G06490	6102
AT1G06500	680
AT1G06515	664
AT1G06510	1252
AT1G06520	2313
AT1G06530	1421
AT1G06540	1933
AT1G06550	1584
AT1G06560	2027
AT1G06570	1424
AT1G06580	2278
AT1G06590	3193
AT1G06610	73
AT1G06620	1491
AT1G06630	1745
AT1G06640	2230
AT1G06645	1513
AT1G06650	1360
AT1G06660	1867
AT1G06670	5440
AT1G06680	1351
AT1G06690	1607
AT1G06700	1886
AT1G06710	3605
AT1G06720	3817
AT1G06730	1997
AT1G06740	2430
AT1G06750	1917
AT1G06760	1159
AT1G06770	1982
AT1G06780	2475
AT1G06790	1277
AT1G06800	1963
AT1G06810	1026
AT1G06820	2551
AT1G06830	550
AT1G06840	3268
AT1G06850	1430
AT1G06860	384
AT1G06870	1768
AT1G06880	71
AT1G06890	1831
AT1G06900	3575
AT1G06910	1581
AT1G06920	1227
AT1G06923	817
AT1G06925	432
AT1G06930	1041
AT1G06950	3441
AT1G06960	1107
AT1G06970	2885
AT1G06980	1039
AT1G06990	1277
AT1G07000	2276
AT1G07010	1926
AT1G07020	819
AT1G07025	501
AT1G07030	1493
AT1G07040	1774
AT1G07050	855
AT1G07051	230
AT1G07060	733
AT1G07070	703
AT1G07080	1239
AT1G07090	1087
AT1G07100	74
AT1G07110	2789
AT1G07119	1493
AT1G07120	1341
AT1G07128	1169
AT1G07130	958
AT1G07135	908
AT1G07140	1516
AT1G07150	1718
AT1G07160	1539
AT1G07170	858
AT1G07175	612
AT1G07180	2169
AT1G07190	165
AT1G07200	3959
AT1G07210	1204
AT1G07220	1942
AT1G07230	2170
AT1G07240	1900
AT1G07250	3599
AT1G07260	1764
AT1G07270	1951
AT1G07280	2414
AT1G07290	1901
AT1G07300	1354
AT1G07310	1850
AT1G07320	1412
AT1G07330	2351
AT1G07340	1686
AT1G07350	1573
AT1G07360	1819
AT1G07370	1130
AT1G07380	2528
AT1G07390	3499
AT1G07400	858
AT1G07410	1178
AT1G07420	1625
AT1G07430	1906
AT1G07440	1178
AT1G07450	975
AT1G07460	901
AT1G07470	1591
AT1G07473	924
AT1G07476	945
AT1G07480	2046
AT1G07485	662
AT1G07490	642
AT1G07510	6715
AT1G07500	266
AT1G07520	2822
AT1G07530	2826
AT1G07540	2394
AT1G07550	2819
AT1G07560	2673
AT1G07570	1825
AT1G07590	2407
AT1G07600	208
AT1G07610	577
AT1G07615	1675
AT1G07620	2100
AT1G07630	2625
AT1G07640	3097
AT1G07650	3628
AT1G07645	676
AT1G07660	722
AT1G07670	3632
AT1G07680	702
AT1G07690	589
AT1G07700	1567
AT1G07705	2441
AT1G07702	81
AT1G07710	1825
AT1G07720	1974
AT1G07725	2599
AT1G07728	2415
AT1G07740	2658
AT1G07730	1170
AT1G07745	1257
AT1G07747	288
AT1G07750	1565
AT1G07770	1653
AT1G07780	1852
AT1G07790	887
AT1G07795	825
AT1G07800	930
AT1G07810	3658
AT1G07820	978
AT1G07830	1113
AT1G07840	1461
AT1G07850	2172
AT1G07870	2034
AT1G07860	439
AT1G07880	1633
AT1G07885	502
AT1G07890	1022
AT1G07900	913
AT1G07901	153
AT1G07910	3820
AT1G07920	1858
AT1G07930	1894
AT1G07940	1905
AT1G07950	980
AT1G07960	1060
AT1G07970	2680
AT1G07980	1197
AT1G07985	942
AT1G07990	3167
AT1G08000	1990
AT1G08005	444
AT1G08010	1507
AT1G08030	2047
AT1G08035	742
AT1G08040	1682
AT1G08050	2490
AT1G08060	6592
AT1G08065	1088
AT1G08070	2471
AT1G08080	924
AT1G08090	2111
AT1G08100	1709
AT1G08105	3092
AT1G08110	1110
AT1G08115	165
AT1G08120	1047
AT1G08125	1333
AT1G08130	2754
AT1G08135	2785
AT1G08140	2883
AT1G08150	2754
AT1G08160	1020
AT1G08165	776
AT1G08170	938
AT1G08180	958
AT1G08190	3481
AT1G08200	1985
AT1G08210	1787
AT1G08220	1232
AT1G08230	1696
AT1G08240	72
AT1G08250	1834
AT1G08260	8576
AT1G08270	1034
AT1G08280	2095
AT1G08290	1895
AT1G08300	2457
AT1G08310	2577
AT1G08315	1212
AT1G08320	1934
AT1G08340	1615
AT1G08350	2027
AT1G08360	1110
AT1G08370	1718
AT1G08380	819
AT1G08390	744
AT1G08400	2787
AT1G08410	2267
AT1G08420	4113
AT1G08430	1961
AT1G08440	1807
AT1G08450	1615
AT1G08460	1725
AT1G08465	1217
AT1G08470	1571
AT1G08480	900
AT1G08490	1824
AT1G08500	1286
AT1G08510	2241
AT1G08520	2705
AT1G08530	1255
AT1G08540	2049
AT1G08550	2289
AT1G08560	1386
AT1G08570	1714
AT1G08580	855
AT1G08590	3743
AT1G08592	3295
AT1G08600	5000
AT1G08610	2143
AT1G08620	4426
AT1G08630	1870
AT1G08640	1649
AT1G08650	1514
AT1G08660	1849
AT1G08670	980
AT1G08680	2772
AT1G08695	383
AT1G08700	1761
AT1G08710	1508
AT1G08720	3181
AT1G08730	4769
AT1G08735	3352
AT1G08740	3045
AT1G08750	1727
AT1G08760	2895
AT1G08770	1016
AT1G08780	724
AT1G08790	709
AT1G08800	4536
AT1G08810	1206
AT1G08820	1922
AT1G08830	873
AT1G08840	4340
AT1G08845	884
AT1G08860	2151
AT1G08870	73
AT1G08880	1103
AT1G08890	1874
AT1G08900	1705
AT1G08910	2909
AT1G08920	2006
AT1G08930	2077
AT1G08940	1175
AT1G08950	72
AT1G08960	2190
AT1G08970	1618
AT1G08980	1573
AT1G08985	462
AT1G08990	2292
AT1G09000	2286
AT1G09010	3087
AT1G09020	2487
AT1G09030	422
AT1G09040	3199
AT1G09050	3216
AT1G09060	3077
AT1G09070	1606
AT1G09080	2125
AT1G09090	2627
AT1G09100	1728
AT1G09110	72
AT1G09130	1395
AT1G09140	1314
AT1G09150	1213
AT1G09155	1227
AT1G09157	856
AT1G09160	2098
AT1G09170	3196
AT1G09176	713
AT1G09180	737
AT1G09190	1614
AT1G09195	2342
AT1G09200	764
AT1G09210	2201
AT1G09220	1675
AT1G09230	1605
AT1G09240	1403
AT1G09245	520
AT1G09250	1287
AT1G09260	440
AT1G09270	2181
AT1G09280	1964
AT1G09290	1337
AT1G09300	1950
AT1G09310	989
AT1G09320	2113
AT1G09330	1177
AT1G09340	1876
AT1G09350	1483
AT1G09360	567
AT1G09370	663
AT1G09380	1641
AT1G09390	1950
AT1G09400	1542
AT1G09410	2288
AT1G09415	655
AT1G09420	2237
AT1G09421	546
AT1G09430	1977
AT1G09440	1960
AT1G09450	2739
AT1G09460	1466
AT1G09470	1287
AT1G09480	1206
AT1G09483	410
AT1G09486	863
AT1G09490	1339
AT1G09500	1427
AT1G09510	1106
AT1G09520	1160
AT1G09530	2280
AT1G09540	1558
AT1G09550	1397
AT1G09560	1227
AT1G09570	4387
AT1G09575	1925
AT1G09580	1093
AT1G09590	872
AT1G09600	3100
AT1G09610	1180
AT1G09620	3720
AT1G09625	431
AT1G09630	1093
AT1G09640	1950
AT1G09645	870
AT1G09650	2110
AT1G09660	1396
AT1G09665	585
AT1G09680	2092
AT1G09690	1046
AT1G09700	1806
AT1G09710	2273
AT1G09720	2787
AT1G09730	3410
AT1G09740	1011
AT1G09750	1578
AT1G09760	1190
AT1G09770	3199
AT1G09780	1966
AT1G09790	1451
AT1G09794	672
AT1G09795	1516
AT1G09800	1757
AT1G09810	1785
AT1G09812	1036
AT1G09815	726
AT1G09820	2235
AT1G09830	1922
AT1G09840	2128
AT1G09850	1752
AT1G09860	1396
AT1G09870	1972
AT1G09880	1931
AT1G09890	1899
AT1G09900	1797
AT1G09910	2234
AT1G09920	981
AT1G09930	2419
AT1G09932	1281
AT1G09935	832
AT1G09940	2201
AT1G09950	1333
AT1G09960	2217
AT1G09970	3379
AT1G09980	3307
AT1G09995	762
AT1G10000	1327
AT1G10010	1428
AT1G10020	2164
AT1G10030	931
AT1G10040	1771
AT1G10050	3379
AT1G10060	1816
AT1G10070	1642
AT1G10090	2910
AT1G10095	1580
AT1G10100	489
AT1G10110	1375
AT1G10120	2262
AT1G10130	3534
AT1G10140	1182
AT1G10150	1821
AT1G10155	2367
AT1G10160	4500
AT1G10170	4668
AT1G10180	2640
AT1G10190	1311
AT1G10200	1236
AT1G10210	1768
AT1G10220	1167
AT1G10230	477
AT1G10240	2363
AT1G10250	330
AT1G10260	722
AT1G10270	3062
AT1G10280	1927
AT1G10290	3460
AT1G10300	2077
AT1G10310	1258
AT1G10320	2277
AT1G10330	1552
AT1G10340	2042
AT1G10350	2023
AT1G10360	1701
AT1G10370	1160
AT1G10380	1374
AT1G10385	2421
AT1G10390	3875
AT1G10400	2035
AT1G10410	2297
AT1G10417	1705
AT1G10419	395
AT1G10430	1347
AT1G10450	4040
AT1G10455	459
AT1G10460	1330
AT1G10470	2017
AT1G10480	1660
AT1G10490	3885
AT1G10500	848
AT1G10510	2150
AT1G10520	1891
AT1G10522	1104
AT1G10530	998
AT1G10538	251
AT1G10540	2052
AT1G10550	1208
AT1G10560	2567
AT1G10570	1957
AT1G10580	2298
AT1G10585	1031
AT1G10586	771
AT1G10588	596
AT1G10590	964
AT1G10600	1683
AT1G10610	1884
AT1G10620	2503
AT1G10630	1194
AT1G10640	2123
AT1G10650	1736
AT1G10657	1074
AT1G10660	1849
AT1G10670	1752
AT1G10680	3956
AT1G10682	702
AT1G10690	929
AT1G10700	1559
AT1G10705	242
AT1G10710	1413
AT1G10717	273
AT1G10720	1817
AT1G10730	1820
AT1G10740	2240
AT1G10745	392
AT1G10747	446
AT1G10750	2056
AT1G10760	5040
AT1G10770	948
AT1G10780	1679
AT1G10790	1107
AT1G10800	807
AT1G10810	1441
AT1G10820	1625
AT1G10830	1459
AT1G10840	1585
AT1G10850	3000
AT1G10865	691
AT1G10870	2817
AT1G10880	1341
AT1G10890	1377
AT1G10900	2855
AT1G10910	2281
AT1G10920	2990
AT1G10930	4156
AT1G10940	1795
AT1G10950	2530
AT1G10960	954
AT1G10970	1154
AT1G10980	1972
AT1G10990	949
AT1G11000	2125
AT1G11010	813
AT1G11020	1460
AT1G11030	74
AT1G11040	1669
AT1G11050	2491
AT1G11055	233
AT1G11060	3148
AT1G11070	2984
AT1G11080	1879
AT1G11090	1172
AT1G11100	4356
AT1G11110	1300
AT1G11112	765
AT1G11120	948
AT1G11125	1181
AT1G11130	3006
AT1G11145	489
AT1G11150	2654
AT1G11160	3869
AT1G11170	1864
AT1G11175	798
AT1G11180	1190
AT1G11185	526
AT1G11190	1274
AT1G11200	1322
AT1G11210	1222
AT1G11220	1093
AT1G11230	1216
AT1G11240	2372
AT1G11250	1496
AT1G11260	2483
AT1G11265	4059
AT1G11270	1470
AT1G11280	2838
AT1G11290	2921
AT1G11300	2770
AT1G11310	2484
AT1G11320	1906
AT1G11330	3499
AT1G11340	2706
AT1G11350	3147
AT1G11360	1615
AT1G11362	722
AT1G11370	1237
AT1G11380	1438
AT1G11390	2576
AT1G11400	1227
AT1G11410	2742
AT1G11420	2019
AT1G11430	2591
AT1G11440	1577
AT1G11450	1157
AT1G11460	1274
AT1G11470	747
AT1G11475	606
AT1G11480	2312
AT1G11482	1123
AT1G11490	1310
AT1G11500	569
AT1G11510	1207
AT1G11520	591
AT1G11530	652
AT1G11540	1488
AT1G11545	1217
AT1G11550	80
AT1G11560	1193
AT1G11570	618
AT1G11572	619
AT1G11580	1898
AT1G11590	1686
AT1G11592	1073
AT1G11593	608
AT1G11595	1069
AT1G11600	1946
AT1G11608	1240
AT1G11610	1683
AT1G11620	1092
AT1G11630	1712
AT1G11640	79
AT1G11650	1641
AT1G11655	633
AT1G11660	2693
AT1G11670	2136
AT1G11680	2028
AT1G11684	357
AT1G11690	744
AT1G11700	1174
AT1G11710	2646
AT1G11720	3720
AT1G11730	1695
AT1G11735	361
AT1G11740	2224
AT1G11750	1338
AT1G11755	1402
AT1G11760	901
AT1G11765	721
AT1G11770	1773
AT1G11780	1873
AT1G11785	643
AT1G11790	1759
AT1G11800	1689
AT1G11803	276
AT1G11806	1053
AT1G11810	1304
AT1G11820	2033
AT1G11840	1517
AT1G11850	868
AT1G11860	2009
AT1G11870	2142
AT1G11880	1808
AT1G11890	1095
AT1G11900	1207
AT1G11905	1164
AT1G11910	2088
AT1G11915	1278
AT1G11920	1305
AT1G11925	804
AT1G11930	1223
AT1G11940	1595
AT1G11950	3370
AT1G11960	2971
AT1G11970	300
AT1G11980	237
AT1G11990	1853
AT1G12000	2108
AT1G12010	1370
AT1G12013	130
AT1G12015	90
AT1G12020	2187
AT1G12030	1179
AT1G12040	2690
AT1G12050	1686
AT1G12060	1005
AT1G12064	598
AT1G12070	1168
AT1G12080	841
AT1G12090	1194
AT1G12100	590
AT1G12110	2202
AT1G12120	2072
AT1G12130	1667
AT1G12140	2725
AT1G12150	1762
AT1G12160	1705
AT1G12170	1095
AT1G12180	669
AT1G12190	1128
AT1G12200	1837
AT1G12211	3135
AT1G12210	2993
AT1G12220	3152
AT1G12230	1720
AT1G12240	2249
AT1G12244	983
AT1G12250	1140
AT1G12260	1953
AT1G12270	1944
AT1G12280	2786
AT1G12290	3108
AT1G12294	462
AT1G12300	3238
AT1G12320	3572
AT1G12310	1581
AT1G12330	1893
AT1G12340	668
AT1G12350	1402
AT1G12360	2651
AT1G12370	1788
AT1G12380	3155
AT1G12390	1062
AT1G12400	729
AT1G12410	1209
AT1G12411	162
AT1G12420	2054
AT1G12430	3255
AT1G12440	1361
AT1G12450	1689
AT1G12460	3634
AT1G12470	3323
AT1G12480	1881
AT1G12490	1059
AT1G12500	1677
AT1G12510	74
AT1G12520	1248
AT1G12530	854
AT1G12540	1072
AT1G12550	1290
AT1G12560	1117
AT1G12570	2342
AT1G12580	2124
AT1G12600	1470
AT1G12610	1135
AT1G12620	2543
AT1G12630	906
AT1G12640	1936
AT1G12650	1205
AT1G12660	557
AT1G12663	410
AT1G12665	519
AT1G12667	347
AT1G12669	391
AT1G12670	514
AT1G12672	600
AT1G12680	2529
AT1G12700	1959
AT1G12710	1409
AT1G12720	2159
AT1G12725	507
AT1G12730	1949
AT1G12740	1923
AT1G12750	1459
AT1G12760	1938
AT1G12770	2226
AT1G12775	2088
AT1G12780	2028
AT1G12790	1527
AT1G12800	2756
AT1G12805	560
AT1G12810	867
AT1G12820	2234
AT1G12840	2801
AT1G12830	999
AT1G12845	776
AT1G12850	1733
AT1G12855	1514
AT1G12860	2066
AT1G12870	1251
AT1G12880	1268
AT1G12890	723
AT1G12900	1555
AT1G12910	1395
AT1G12920	1656
AT1G12930	3458
AT1G12935	429
AT1G12940	1852
AT1G12950	1926
AT1G12960	315
AT1G12970	1886
AT1G12980	1248
AT1G12990	2097
AT1G13000	2080
AT1G13010	73
AT1G13020	2607
AT1G13030	2202
AT1G13040	1814
AT1G13050	1476
AT1G13060	1304
AT1G13070	1619
AT1G13080	1908
AT1G13090	1732
AT1G13100	1784
AT1G13110	1869
AT1G13120	2570
AT1G13130	1886
AT1G13140	1942
AT1G13145	475
AT1G13150	1877
AT1G13160	2654
AT1G13170	3196
AT1G13180	2019
AT1G13190	2307
AT1G13195	1309
AT1G13200	1308
AT1G13210	4194
AT1G13220	3622
AT1G13230	1600
AT1G13245	791
AT1G13250	1738
AT1G13260	1803
AT1G13270	1452
AT1G13280	1358
AT1G13290	1215
AT1G13300	1336
AT1G13310	1545
AT1G13320	2217
AT1G13330	1020
AT1G13340	1590
AT1G13350	2614
AT1G13360	1481
AT1G13370	696
AT1G13380	930
AT1G13390	1930
AT1G13400	1071
AT1G13410	2177
AT1G13420	1403
AT1G13430	1281
AT1G13440	1789
AT1G13448	592
AT1G13450	1727
AT1G13460	2036
AT1G13470	1404
AT1G13480	1435
AT1G13485	174
AT1G13490	1103
AT1G13500	1161
AT1G13510	1533
AT1G13520	1464
AT1G13530	1308
AT1G13540	1432
AT1G13550	1270
AT1G13560	1825
AT1G13570	1836
AT1G13580	1751
AT1G13590	882
AT1G13600	944
AT1G13605	482
AT1G13607	452
AT1G13608	636
AT1G13609	705
