AT5G51060	Rboh_down_PTI_-6.196563265
AT2G05940	RLCK-VII_down_PTI_-2.677346863
AT5G66210	CPKs_CRKs_down_PTI_-2.67624315
AT4G01010	GNGCs_down_PTI_-2.674970783
AT2G39110	RLCK-VII_down_PTI_-2.660495346
AT1G01340	GNGCs_down_PTI_-2.622520075
AT4G28490	LRR-RLKs_down_PTI_-2.617616945
AT2G13810	SA_PIP_biosynthesis_down_PTI_-2.608940228
AT5G41180	LRR-RLKs_down_PTI_-2.585478359
AT2G13790	LRR-RLKs_down_PTI_-2.561745165
AT3G05660	LRR-RLPs_down_PTI_-2.512187042
AT3G02880	LRR-RLKs_down_PTI_-2.494173566
AT3G28890	LRR-RLPs_down_PTI_-2.475016021
AT5G55090	MAPKKK_down_PTI_-2.472017858
AT5G56580	MAPKK_down_PTI_-2.447906515
AT5G24430	CPKs_CRKs_down_PTI_-2.445381943
AT5G01950	LRR-RLKs_down_PTI_-2.430566391
AT1G69790	RLCK-VII_down_PTI_-2.392172998
AT5G45840	LRR-RLKs_down_PTI_-2.372745454
AT1G71400	LRR-RLPs_down_PTI_-2.321054225
AT5G46330	LRR-RLKs_down_PTI_-2.317048114
AT2G02220	LRR-RLKs_down_PTI_-2.288947157
AT2G01450	MAPK_down_PTI_-2.281757513
AT3G14840	LRR-RLKs_down_PTI_-2.281300073
AT5G40170	LRR-RLPs_down_PTI_-2.267596851
AT1G34420	LRR-RLKs_down_PTI_-2.246015539
AT2G17220	RLCK-VII_down_PTI_-2.196356331
AT3G11080	LRR-RLPs_down_PTI_-2.173684241
AT1G53430	LRR-RLKs_down_PTI_-2.156446248
AT1G45616	LRR-RLPs_down_PTI_-2.137765017
AT5G20480	LRR-RLKs_down_PTI_-2.083058722
AT1G51660	MAPKK_down_PTI_-2.083008127
AT1G35710	LRR-RLKs_down_PTI_-2.058877262
AT3G55450	RLCK-VII_down_PTI_-2.025935948
AT1G51790	LRR-RLKs_down_PTI_-1.982711456
AT4G08500	MAPKKK_down_PTI_-1.957313438
AT2G33080	LRR-RLPs_down_PTI_-1.902142963
AT5G12480	CPKs_CRKs_down_PTI_-1.87632147
AT1G56130	LRR-RLKs_down_PTI_-1.85926569
AT3G23120	LRR-RLPs_down_PTI_-1.853386721
AT5G03320	RLCK-VII_down_PTI_-1.841405594
AT4G20140	LRR-RLKs_down_PTI_-1.834463553
AT4G35600	RLCK-VII_down_PTI_-1.818388884
AT4G09570	CPKs_CRKs_down_PTI_-1.810497446
AT1G08590	LRR-RLKs_down_PTI_-1.805417603
AT2G17290	CPKs_CRKs_down_PTI_-1.772067925
AT3G49370	CPKs_CRKs_down_PTI_-1.761400467
AT1G31930	G-proteins_down_PTI_-1.746003123
AT1G17240	LRR-RLPs_down_PTI_-1.711529851
AT4G12020	MAPKKK_down_PTI_-1.706699106
AT5G47070	RLCK-VII_down_PTI_-1.670274906
AT3G09830	RLCK-VII_down_PTI_-1.644693162
AT1G29750	LRR-RLKs_down_PTI_-1.636873469
AT2G26300	G-proteins_down_PTI_-1.624129955
AT4G13920	LRR-RLPs_down_PTI_-1.61723327
AT4G36180	LRR-RLKs_down_PTI_-1.614695399
AT3G47090	LRR-RLKs_down_PTI_-1.598088006
AT2G23300	LRR-RLKs_down_PTI_-1.593140187
AT5G04870	CPKs_CRKs_down_PTI_-1.588689036
AT3G05650	LRR-RLPs_down_PTI_-1.57091168
AT3G10660	CPKs_CRKs_down_PTI_-1.564193104
AT3G21220	MAPKK_down_PTI_-1.554086391
AT3G05370	LRR-RLPs_down_PTI_-1.550643892
AT3G47110	LRR-RLKs_down_PTI_-1.541760531
AT4G04710	CPKs_CRKs_down_PTI_-1.537632655
AT4G08850	LRR-RLKs_down_PTI_-1.529773816
AT4G04220	LRR-RLPs_down_PTI_-1.524665607
AT2G31880	LRR-RLKs_down_PTI_-1.508520558
AT2G18170	MAPK_down_PTI_-1.503263389
AT3G45640	MAPK_down_PTI_-1.496324108
AT5G18610	RLCK-VII_down_PTI_-1.480319952
AT4G38230	CPKs_CRKs_down_PTI_-1.479386471
AT1G64060	Rboh_down_PTI_-1.474956466
AT3G28450	LRR-RLKs_down_PTI_-1.455470395
AT1G58190	LRR-RLPs_down_PTI_-1.442820233
AT1G07570	RLCK-VII_down_PTI_-1.431790286
AT1G17230	LRR-RLKs_down_PTI_-1.426301166
AT2G29120	GLRs_down_PTI_-1.40919114
AT3G20410	CPKs_CRKs_down_PTI_-1.397146188
AT5G52810	SA_PIP_biosynthesis_down_PTI_-1.394558519
AT2G15080	LRR-RLPs_down_PTI_-1.393820561
AT3G07980	MAPKKK_down_PTI_-1.389562217
AT4G34460	G-proteins_down_PTI_-1.365739137
AT3G06030	MAPKKK_down_PTI_-1.360375779
AT1G53570	MAPKKK_down_PTI_-1.333071906
AT3G13530	MAPKKK_down_PTI_-1.330591409
AT1G69270	LRR-RLKs_down_PTI_-1.324859503
AT3G57530	CPKs_CRKs_down_PTI_-1.296558037
AT2G13800	LRR-RLKs_down_PTI_-1.295439645
AT2G33170	LRR-RLKs_down_PTI_-1.26179389
AT3G23010	LRR-RLPs_down_PTI_-1.229157515
AT3G25020	LRR-RLPs_down_PTI_-1.223684501
AT4G03390	LRR-RLKs_down_PTI_-1.221323515
AT5G65240	LRR-RLKs_down_PTI_-1.218890145
AT2G28590	RLCK-VII_down_PTI_-1.205172218
AT1G07390	LRR-RLPs_down_PTI_-1.182181243
AT2G28930	RLCK-VII_down_PTI_-1.178963376
AT1G07650	LRR-RLKs_down_PTI_-1.175369964
AT4G35310	CPKs_CRKs_down_PTI_-1.172619256
AT3G47570	LRR-RLKs_down_PTI_-1.165855031
AT4G04700	CPKs_CRKs_down_PTI_-1.159098252
AT4G26890	MAPKKK_down_PTI_-1.114408232
AT2G07180	RLCK-VII_down_PTI_-1.10258931
AT1G63700	MAPKKK_down_PTI_-1.071527456
AT2G43790	MAPK_down_PTI_-1.060557771
AT3G17700	GNGCs_down_PTI_-1.043753442
AT2G32680	LRR-RLPs_down_PTI_-1.043166428
AT4G08470	MAPKKK_down_PTI_-1.040057619
AT5G13160	RLCK-VII_down_PTI_-1.029750042
AT5G63930	LRR-RLKs_down_PTI_-1.025825251
AT1G07150	MAPKKK_down_PTI_-1.008969275
AT2G20850	LRR-RLKs_down_PTI_-1.006722181
AT1G74740	CPKs_CRKs_down_PTI_-1.00545956
